"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9349","testPersonalValidation","ParallelSuite","Thu Jul 17 13:36:31 GMT+03:00 2025","passed","Thu Jul 17 13:36:40 GMT+03:00 2025","tests.RegistrationTest","All Tests","tests.RegistrationTest","testPersonalValidation"
"","12306","testEmailValidation","ParallelSuite","Thu Jul 17 13:35:56 GMT+03:00 2025","passed","Thu Jul 17 13:36:09 GMT+03:00 2025","tests.RegistrationTest","All Tests","tests.RegistrationTest","testEmailValidation"
"","13162","testSuccessfulRegistration","ParallelSuite","Thu Jul 17 13:36:47 GMT+03:00 2025","passed","Thu Jul 17 13:37:00 GMT+03:00 2025","tests.RegistrationTest","All Tests","tests.RegistrationTest","testSuccessfulRegistration"
"","10230","testSuccessfulRegistration","ParallelSuite","Thu Jul 17 13:37:22 GMT+03:00 2025","passed","Thu Jul 17 13:37:32 GMT+03:00 2025","tests.RegistrationTest","All Tests","tests.RegistrationTest","testSuccessfulRegistration"
"","8232","testPasswordValidation","ParallelSuite","Thu Jul 17 13:36:18 GMT+03:00 2025","passed","Thu Jul 17 13:36:26 GMT+03:00 2025","tests.RegistrationTest","All Tests","tests.RegistrationTest","testPasswordValidation"
"","19971","testLogin","ParallelSuite","Thu Jul 17 13:35:56 GMT+03:00 2025","passed","Thu Jul 17 13:36:16 GMT+03:00 2025","tests.LoginTest","All Tests","tests.LoginTest","testLogin"
"","14799","testLogin","ParallelSuite","Thu Jul 17 13:36:25 GMT+03:00 2025","passed","Thu Jul 17 13:36:40 GMT+03:00 2025","tests.LoginTest","All Tests","tests.LoginTest","testLogin"
"","9369","testSuccessfulRegistration","ParallelSuite","Thu Jul 17 13:37:09 GMT+03:00 2025","passed","Thu Jul 17 13:37:18 GMT+03:00 2025","tests.RegistrationTest","All Tests","tests.RegistrationTest","testSuccessfulRegistration"
